"Control Information
",,,,,,,,,GovRAMP Parameters,,,Evidence Examples,Control Completed,Score,Month Last Passed,,PMO Feedback 202601,PMO Feedback 202510,PMO Feedback 202507,PMO Feedback 202504,PMO Feedback 202501,PMO Feedback 202410,PMO Feedback 202407,PMO Feedback 202404,PMO Feedback 202401
26,IR-04,64.21,2.22%,INCIDENT RESPONSE,IR-4,Incident Handling,"a. Implement an incident handling capability for incidents that is consistent with the incident response plan and includes preparation, detection and analysis, containment, eradication, and recovery;
b. Coordinate incident handling activities with contingency planning activities;
c. Incorporate lessons learned from ongoing incident handling activities into incident response procedures, training, and testing, and implement the resulting changes accordingly; and
d. Ensure the rigor, intensity, scope, and results of incident handling activities are comparable and predictable across the organization.","Organizations recognize that incident response capabilities are dependent on the capabilities of organizational systems and the mission and business processes being supported by those systems. Organizations consider incident response as part of the definition, design, and development of mission and business processes and systems. Incident-related information can be obtained from a variety of sources, including audit monitoring, physical access monitoring, and network monitoring; user or administrator reports; and reported supply chain events. An effective incident handling capability includes coordination among many organizational entities (e.g., mission or business owners, system owners, authorizing officials, human resources offices, physical security offices, personnel security offices, legal departments, risk executive [function], operations personnel, procurement offices). Suspected security incidents include the receipt of suspicious email communications that can contain malicious code. Suspected supply chain incidents include the insertion of counterfeit hardware or malicious code into organizational systems or system components. For federal agencies, an incident that involves personally identifiable information is considered a breach. A breach results in unauthorized disclosure, the loss of control, unauthorized acquisition, compromise, or a similar occurrence where a person other than an authorized user accesses or potentially accesses personally identifiable information or an authorized user accesses or potentially accesses such information for other than authorized purposes.",,"IR-4 Requirement: The FISMA definition of ""incident"" shall be used: ""An occurrence that actually or imminently jeopardizes, without lawful authority, the confidentiality, integrity, or availability of information or an information system; or constitutes a violation or imminent threat of violation of law, security policies, security procedures, or acceptable use policies.""

IR-4 Requirement: The service provider ensures that individuals conducting incident handling meet personnel security requirements commensurate with the criticality/sensitivity of the information being processed, stored, and transmitted by the information system.
",,"• Incident Response Plan
• Incident Response Policy and Procedure
• Incident Response Report (documentation of actual incident response)
• Incident Resposne Playbooks and/or checklists
• Incident Response flow chart
• Contigency Planning documentation and/or Incident Response documentation showing coordination between the two activities
• Incident Response Plan Test Results",Yes,2.22%,October-25,,"(a): Pass

(b): Pass with Concerns still present: While the new evidence shows technical proof of coordination, it has not been explicitly documented. Detail what contingency planning activities would coordinate with incident handling activities (Business Continuity and Disaster Recovery mechanisms).

(c): Pass

(d): Pass

","(a): Pass

(b): Pass with Concerns: Detail what contingency planning activities would coordinate with incident handling activities (Business Continuity and Disaster Recovery mechanisms).

(c): Pass

(d): Pass","PASSED IN PREVIOUS REVIEW
(a): Pass

(b): Pass with Concerns: Detail what contingency planning activities would coordinate with incident handling activities (Business Continuity and Disaster Recovery mechanisms).

(c): Pass

(d): Pass","PASSED IN PREVIOUS REVIEW
(a): Pass

(b): Pass with Concerns: Detail what contingency planning activities would coordinate with incident handling activities (Business Continuity and Disaster Recovery mechanisms).

(c): Pass

(d): Pass","PASSED IN PREVIOUS REVIEW
(a): Pass

(b): Pass with Concerns: Detail what contingency planning activities would coordinate with incident handling activities (Business Continuity and Disaster Recovery mechanisms).

(c): Pass

(d): Pass","(a): Pass

(b): Pass with Concerns: Detail what contingency planning activities would coordinate with incident handling activities (Business Continuity and Disaster Recovery mechanisms).

(c): Pass

(d): Pass",No evidence submitted as of 7/23/2024.,No evidence submitted as of 4/23/2024., 
27,IR-04 (01),64.21,2.22%,INCIDENT RESPONSE,IR-4 (1),Incident Handling | Automated Incident Handling Processes,Support the incident handling process using [Assignment: organization-defined automated mechanisms].,"Automated mechanisms that support incident handling processes include online incident management systems and tools that support the collection of live response data, full network packet capture, and forensic analysis.",,,,"• Examples of automated alerts from organization's Security Information and Event Management (SIEM) tool or Host Based Security System (HBSS) tool.
• Screenshot of organization's Security Information and Event Management (SIEM) tool or Host Based Security System (HBSS) configuration settings showing alerting rules.
• Examples of automated analysis of suspected incidents",Yes,2.22%,January-26,,Pass,Fail: Provide evidence from a SIEM tool automatically triaging IR alerts.,No new evidence submitted as of 7/24/2025.,No new evidence submitted as of 4/24/2025.,No new evidence submitted as of 1/14/2025.,No evidence submitted as of 10/14/2024.,No evidence submitted as of 7/23/2024.,No evidence submitted as of 4/23/2024., 
28,MA-03,25.65,0.89%,MAINTENANCE,MA-3,Maintenance Tools,"a. Approve, control, and monitor the use of system maintenance tools; and
b. Review previously approved system maintenance tools [Assignment: organization-defined frequency].","Approving, controlling, monitoring, and reviewing maintenance tools address security-related issues associated with maintenance tools that are not within system authorization boundaries and are used specifically for diagnostic and repair actions on organizational systems. Organizations have flexibility in determining roles for the approval of maintenance tools and how that approval is documented. A periodic review of maintenance tools facilitates the withdrawal of approval for outdated, unsupported, irrelevant, or no-longer-used tools. Maintenance tools can include hardware, software, and firmware items and may be pre-installed, brought in with maintenance personnel on media, cloud-based, or downloaded from a website. Such tools can be vehicles for transporting malicious code, either intentionally or unintentionally, into a facility and subsequently into systems. Maintenance tools can include hardware and software diagnostic test equipment and packet sniffers. The hardware and software components that support maintenance and are a part of the system (including the software implementing utilities such as ping, ls, ipconfig, or the hardware and software implementing the monitoring port of an Ethernet switch) are not addressed by maintenance tools.",MA-3 (b) [at least annually],,,"• Records or documentation showing that system maintenance tools were approved by authorized personnel. This may be done multiple ways including email confirmation, approval forms, or maintenance tickets noting the approval of the tool.
• Procedures addressing system maintenance tools
• Maintenance records
• Evidence of reviewing previously approved maintenance tools and hardware and software inventory at least annually
• Evidence of the removal of outdated, unsupported, irrelevant, or no-longer used/needed tools (tickets, change management records, etc.)",Yes,0.89%,January-26,,"a. Pass with concerns: Please provide a screenshot from the AWS Customer Responsibility Matrix or the CRM itself to support that this is an inherited control. 

b. Pass with concerns: Please provide a screenshot from the AWS Customer Responsibility Matrix or the CRM itself to support that this is an inherited control. 

Also, take note that the maintenance of the software and applications is also in scope and the tools that provide management and maintenance should be discussed.","The previous snapshot Matrix reported controls that listed the month in which it would expire. 
To maintain the current score for a control with expiring/expired evidence, refreshed evidence must be
uploaded to the appropriate control folder for reevaluation and rescoring. 
If updated evidence is not provided and the control is reassessed in the review
cycle, it may fail to meet the requirements—resulting in a failed status and a
reduced score.
To identify which controls require updated evidence, please refer to Tab
7_Expired_Evidence Dashboard: Columns C & D, ""Within 3 Months"" and ""Expired This Month"", respectively.


Fail - evidence was not refreshed.","Passed in previous review.
NOTE: 
Evidence is valid for one year. Due to insufficient notification from the GovRAMP PMO, several expired controls will retain a passing grade for this cycle.  To maintain the current score, all expired/expiring evidence needs to be updated before the next review. See Tab 7_Expired Evidence Dashboard for an overview of expired controls. The highlighted controls will need to be refreshed in the next review cycle to avoid a reduced score.",Passed in previous review.,Passed in previous review.,Passed in previous review.,Passed in previous review.," a. Pass with Concerns: Please provide a screenshot from the AWS Customer Responsibility Matrix or the CRM itself to support that this is an inherited control. 
b. Pass with Concerns: Please provide a screenshot from the AWS Customer Responsibility Matrix or the CRM itself to support that this is an inherited control. ", 
29,RA-05,61.82,2.13%,RISK ASSESSMENT,RA-5,Vulnerability Monitoring and Scanning,"a. Monitor and scan for vulnerabilities in the system and hosted applications [Assignment: organization-defined frequency and/or randomly in accordance with organization-defined process] and when new vulnerabilities potentially affecting the system are identified and reported;
b. Employ vulnerability monitoring tools and techniques that facilitate interoperability among tools and automate parts of the vulnerability management process by using standards for:
 1. Enumerating platforms, software flaws, and improper configurations;
 2. Formatting checklists and test procedures; and
 3. Measuring vulnerability impact; 
c. Analyze vulnerability scan reports and results from vulnerability monitoring;
d. Remediate legitimate vulnerabilities [Assignment: organization-defined response times] in accordance with an organizational assessment of risk;
e. Share information obtained from the vulnerability monitoring process and control assessments with [Assignment: organization-defined personnel or roles] to help eliminate similar vulnerabilities in other systems; and
f. Employ vulnerability monitoring tools that include the capability to readily update the vulnerabilities to be scanned.","Security categorization of information and systems guides the frequency and comprehensiveness of vulnerability monitoring (including scans). Organizations determine the required vulnerability monitoring for system components, ensuring that the potential sources of vulnerabilities—such as infrastructure components (e.g., switches, routers, guards, sensors), networked printers, scanners, and copiers—are not overlooked. The capability to readily update vulnerability monitoring tools as new vulnerabilities are discovered and announced and as new scanning methods are developed helps to ensure that new vulnerabilities are not missed by employed vulnerability monitoring tools. The vulnerability monitoring tool update process helps to ensure that potential vulnerabilities in the system are identified and addressed as quickly as possible. Vulnerability monitoring and analyses for custom software may require additional approaches, such as static analysis, dynamic analysis, binary analysis, or a hybrid of the three approaches. Organizations can use these analysis approaches in source code reviews and in a variety of tools, including web-based application scanners, static analysis tools, and binary analyzers. 
 Vulnerability monitoring includes scanning for patch levels; scanning for functions, ports, protocols, and services that should not be accessible to users or devices; and scanning for flow control mechanisms that are improperly configured or operating incorrectly. Vulnerability monitoring may also include continuous vulnerability monitoring tools that use instrumentation to continuously analyze components. Instrumentation-based tools may improve accuracy and may be run throughout an organization without scanning. Vulnerability monitoring tools that facilitate interoperability include tools that are Security Content Automated Protocol (SCAP)-validated. Thus, organizations consider using scanning tools that express vulnerabilities in the Common Vulnerabilities and Exposures (CVE) naming convention and that employ the Open Vulnerability Assessment Language (OVAL) to determine the presence of vulnerabilities. Sources for vulnerability information include the Common Weakness Enumeration (CWE) listing and the National Vulnerability Database (NVD). Control assessments, such as red team exercises, provide additional sources of potential vulnerabilities for which to scan. Organizations also consider using scanning tools that express vulnerability impact by the Common Vulnerability Scoring System (CVSS).
 Vulnerability monitoring includes a channel and process for receiving reports of security vulnerabilities from the public at-large. Vulnerability disclosure programs can be as simple as publishing a monitored email address or web form that can receive reports, including notification authorizing good-faith research and disclosure of security vulnerabilities. Organizations generally expect that such research is happening with or without their authorization and can use public vulnerability disclosure channels to increase the likelihood that discovered vulnerabilities are reported directly to the organization for remediation.
 Organizations may also employ the use of financial incentives (also known as bug bounties) to further encourage external security researchers to report discovered vulnerabilities. Bug bounty programs can be tailored to the organization’s needs. Bounties can be operated indefinitely or over a defined period of time and can be offered to the general public or to a curated group. Organizations may run public and private bounties simultaneously and could choose to offer partially credentialed access to certain participants in order to evaluate security vulnerabilities from privileged vantage points.","RA-5 (a) [monthly operating system/infrastructure; monthly web applications (including APIs) and databases]
RA-5 (d) [high-risk vulnerabilities mitigated within thirty (30) days from date of discovery; moderate-risk vulnerabilities mitigated within ninety (90) days from date of discovery; low risk vulnerabilities mitigated within one hundred and eighty (180) days from date of discovery]","RA-5 Guidance: See the GovRAMP Documents page> Vulnerability Scanning Requirements 
https://GovRAMP.org/templates-resources/
RA-5 (a) Requirement: an accredited independent assessor scans operating systems/infrastructure, web applications, and databases once annually.
RA-5 (d) Requirement: If a vulnerability is listed among the CISA Known Exploited Vulnerability (KEV) Catalog (https://www.cisa.gov/known-exploited-vulnerabilities-catalog) the KEV remediation date supersedes the GovRAMP parameter requirement.
RA-5 (e) Requirement: to include all Sponsor/SAC authorizations to include GovRAMP

RA-5 Guidance: Informational findings from a scanner are detailed as a returned result that holds no vulnerability risk or severity and for GovRAMP does not require an entry onto the POA&M or entry onto the RET during any assessment phase.
Warning findings, on the other hand, are given a risk rating (low, moderate, high or critical) by the scanning solution and should be treated like any other finding with a risk or severity rating for tracking purposes onto either the POA&M or RET depending on when the findings originated (during assessments or during monthly continuous monitoring). If a warning is received during scanning, but further validation turns up no actual issue then this item should be categorized as a false positive. If this situation presents itself during an assessment phase (initial assessment, annual assessment or any SCR), follow guidance on how to report false positives in the Security Assessment Report (SAR). If this situation happens during monthly continuous monitoring, a deviation request will need to be submitted per the GovRAMP Vulnerability Deviation Request Form.
Warnings are commonly associated with scanning solutions that also perform compliance scans, and if the scanner reports a “warning” as part of the compliance scanning of a SP, follow guidance surrounding the tracking of compliance findings during either the assessment phases (initial assessment, annual assessment or any SCR) or monthly continuous monitoring as it applies. Guidance on compliance scan findings can be found by searching on “Tracking of Compliance Scans” in FAQs.
",,"• Procedures addressing vulnerability scanning
• Plan of Actions & Milestones report
• Screenshots or reports from vulnerability scanning (web application and OS) tool ex: Nessus, Tenable.sc, or Qualys for three prior (3) months
• Evidence that the scanning tool(s) used facilitates interpolarity among other tools (SCAP validation, uses CVE, OVAL, CWE, CVSS - see NIST discussion (Column I) for more detail)
• Ticket or change request to remediate a vulnerability recently discovered by scanning tool
• Email thread or confirmation of a remediation process taking place after receiving notification of vulnerabilities
• Evidence of analysis of vulnerability scan reports and vulnerability monitoring (reporting, dashboards, regular meetings to discuss vulnerabilities)
• Documentation or screenshots of vulnerability scanning tool configuration settings showing how the organization is set up to receive and implement updates for new vulnerabilities
• Example tickets of vulnerability scan findings representing the CSP tracks vulnerability scan findings in the ticketing system so that personnel with appropriate access can review and track
• Evidence of meeting invitation to determine that CSP discusses vulnerabilities with relevant stakeholders
• Evidence that vulnerabilities are remediated in the required timelines (See Column J)
",Yes,2.13%,January-26,,"(a): Pass 

(b): Pass

(c): Pass

(d): Pass 

(e): Pass

(f): Pass","(a): Pass with Concerns: Ensure evidence aligns with consistent (monthly) monitoring and scanning of vulnerabilities with Inspector.

(b): Pass

(c): Fail: Provide evidence of the analysis of scan reports and vulnerability monitoring.

(d): Pass with Concerns: Ensure remediation actions align to the defined timelines.

(e): Fail:  Provide evidence that vulnerability information is shared with other organization personnel to assist in protecting other systems.

(f): Fail: Provide evidence that the tool used can be readily update the vulnerabilities to be scanned.","No new evidence submitted as of 7/24/2025.
(a): Fail: Provide evidence of consistent (monthly) monitoring and scanning of vulnerabilities with Inspector.

(b): Pass

(c): Fail: Provide evidence of the analysis of scan reports and vulnerability monitoring.

(d): Fail: Provide evidence that vulnerabilities are remediated within the required timelines.

(e): Fail:  Provide evidence that vulnerability information is shared with other organization personnel to assist in protecting other systems.

(f): Fail: Provide evidence that the tool used can be readily update the vulnerabilities to be scanned.","No new evidence submitted as of 4/24/2025.
(a): Fail: Provide evidence of consistent (monthly) monitoring and scanning of vulnerabilities with Inspector.

(b): Pass

(c): Fail: Provide evidence of the analysis of scan reports and vulnerability monitoring.

(d): Fail: Provide evidence that vulnerabilities are remediated within the required timelines.

(e): Fail:  Provide evidence that vulnerability information is shared with other organization personnel to assist in protecting other systems.

(f): Fail: Provide evidence that the tool used can be readily update the vulnerabilities to be scanned.","No new evidence submitted as of 1/14/2025.
(a): Fail: Provide evidence of consistent (monthly) monitoring and scanning of vulnerabilities with Inspector.

(b): Pass

(c): Fail: Provide evidence of the analysis of scan reports and vulnerability monitoring.

(d): Fail: Provide evidence that vulnerabilities are remediated within the required timelines.

(e): Fail:  Provide evidence that vulnerability information is shared with other organization personnel to assist in protecting other systems.

(f): Fail: Provide evidence that the tool used can be readily update the vulnerabilities to be scanned.","(a): Fail: Provide evidence of consistent (monthly) monitoring and scanning of vulnerabilities with Inspector.

(b): Pass

(c): Fail: Provide evidence of the analysis of scan reports and vulnerability monitoring.

(d): Fail: Provide evidence that vulnerabilities are remediated within the required timelines.

(e): Fail:  Provide evidence that vulnerability information is shared with other organization personnel to assist in protecting other systems.

(f): Fail: Provide evidence that the tool used can be readily update the vulnerabilities to be scanned.",No evidence submitted as of 7/23/2024.,No evidence submitted as of 4/23/2024., 
30,RA-05 (05),61.82,2.13%,RISK ASSESSMENT,RA-5 (5),Vulnerability Monitoring and Scanning | Privileged Access,Implement privileged access authorization to [Assignment: organization-defined system components] for [Assignment: organization-defined vulnerability scanning activities].,"In certain situations, the nature of the vulnerability scanning may be more intrusive, or the system component that is the subject of the scanning may contain classified or controlled unclassified information, such as personally identifiable information. Privileged access authorization to selected system components facilitates more thorough vulnerability scanning and protects the sensitive nature of such scanning.","RA-5 (5)-1 [all components that support authentication] 
RA-5 (5)-2 [all scans]",,,"• Evidence of scans that use privivelged access authorization when scanning.
• Evidence of scan tool settings configured to run authenticated scans.
• Authentication records used by the scanning tool.
• A list of scanning tool users who are authorized to make configuration changes.",Yes,2.13%,January-26,,"Pass with concerns - Evidence demonstrates that system components are currently managed and capable of receiving privileged operations through AWS Systems Manager, supporting vulnerability monitoring activities. However, the evidence does not demonstrate organization-defined privileged access authorization specifically for vulnerability scanning activities. Additional evidence showing scanner-specific authorization mechanisms (e.g. IAM roles, scanner configuration or policy mapping) will strengthen this.","Fail: Provide evidence that credentialed scans for all system components within the authorization boundary including operating systems (OS), container images, web applications (including APIs), and databases are used wherever possible.

NOTE: Please submit fresh evidence within the designated control folder not located within the Refresh Evidence folder.",No new evidence submitted as of 7/24/2025.,No new evidence submitted as of 4/24/2025.,No new evidence submitted as of 1/14/2025.,No evidence submitted as of 10/14/2024.,No evidence submitted as of 7/23/2024.,No evidence submitted as of 4/23/2024., 
31,SC-07,72.9,2.52%,SYSTEM AND COMMUNICATIONS PROTECTION,SC-7,Boundary Protection,"a. Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces within the system;
b. Implement subnetworks for publicly accessible system components that are [Selection: physically; logically] separated from internal organizational networks; and
c. Connect to external networks or systems only through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security and privacy architecture.","Managed interfaces include gateways, routers, firewalls, guards, network-based malicious code analysis, virtualization systems, or encrypted tunnels implemented within a security architecture. Subnetworks that are physically or logically separated from internal networks are referred to as demilitarized zones or DMZs. Restricting or prohibiting interfaces within organizational systems includes restricting external web traffic to designated web servers within managed interfaces, prohibiting external traffic that appears to be spoofing internal addresses, and prohibiting internal traffic that appears to be spoofing external addresses. SP 800-189 provides additional information on source address validation techniques to prevent ingress and egress of traffic with spoofed addresses. Commercial telecommunications services are provided by network components and consolidated management systems shared by customers. These services may also include third party-provided access lines and other service elements. Such services may represent sources of increased risk despite contract security provisions. Boundary protection may be implemented as a common control for all or part of an organizational network such that the boundary to be protected is greater than a system-specific boundary (i.e., an authorization boundary).",,"SC-7 (b) Guidance:   SC-7 (b) should be met by subnet isolation.  A subnetwork (subnet) is a physically or logically segmented section of a larger network defined at TCP/IP Layer 3, to both minimize traffic and, important for a GovRAMP Authorization, add a crucial layer of network isolation. Subnets are distinct from VLANs (Layer 2), security groups, and VPCs and are specifically required to satisfy SC-7 part b and other controls.  ",,"• Procedures addressing boundary protection
• List of internal key boundaries of the system
• Network architecture or data flow diagram(s) which depict a visual representation of network architecture showing ingress/egress points, network segmentation, and the locations of key internal managed interfaces.
• Example of inbound/outbound communications traffic filtered via the source and destination to only authorized/allowed addresses and included a rule to deny all/permit by exception. 
• Example of security groups to reflect  traffic was filtered via the source and destination to only authorized/allowed addresses and included a rule to deny all/permit by exception.
• Boundary protection device (firewall, IDS, IPS, WAF, etc.) configuration settings",Yes,2.52%,January-26,,"(a): Pass

(b): Pass

(c): Pass","(a): Pass

(b): Fail: Cannot decipher from the Security Groups provided how the network is segmented. Visually, provide a network diagram illustrating the implementation of AWS VPC/Subnet.

(c): Pass","No new evidence submitted as of 7/24/2025.
(a): Fail: Provide evidence that communications at external and internal interfaces are monitored and controlled. This includes network diagrams along with network monitoring configuration settings.

(b): Fail: Provide a network diagram illustrating the implementation of AWS VPC/Subnet.

(c): Fail: Provide evidence that outgoing connections are only initiated through boundary protection devices.","No new evidence submitted as of 4/24/2025.
(a): Fail: Provide evidence that communications at external and internal interfaces are monitored and controlled. This includes network diagrams along with network monitoring configuration settings.

(b): Fail: Provide a network diagram illustrating the implementation of AWS VPC/Subnet.

(c): Fail: Provide evidence that outgoing connections are only initiated through boundary protection devices.","No new evidence submitted as of 1/14/2025.
(a): Fail: Provide evidence that communications at external and internal interfaces are monitored and controlled. This includes network diagrams along with network monitoring configuration settings.

(b): Fail: Provide a network diagram illustrating the implementation of AWS VPC/Subnet.

(c): Fail: Provide evidence that outgoing connections are only initiated through boundary protection devices.","(a): Fail: Provide evidence that communications at external and internal interfaces are monitored and controlled. This includes network diagrams along with network monitoring configuration settings.

(b): Fail: Provide a network diagram illustrating the implementation of AWS VPC/Subnet.

(c): Fail: Provide evidence that outgoing connections are only initiated through boundary protection devices.",No evidence submitted as of 7/23/2024.,No evidence submitted as of 4/23/2024., 
32,SC-07 (03),72.9,2.52%,SYSTEM AND COMMUNICATIONS PROTECTION,SC-7 (3),Boundary Protection | Access Points,Limit the number of external network connections to the system.,"Limiting the number of external network connections facilitates monitoring of inbound and outbound communications traffic. The Trusted Internet Connection DHS TIC initiative is an example of a federal guideline that requires limits on the number of external network connections. Limiting the number of external network connections to the system is important during transition periods from older to newer technologies (e.g., transitioning from IPv4 to IPv6 network protocols). Such transitions may require implementing the older and newer technologies simultaneously during the transition period and thus increase the number of access points to the system.",,,,"• Network diagram(s) which depict a visual representation showing external ingress/egress points
• Example of inbound communications traffic filtered via the source and destination to only authorized/allowed addresses and included a rule to deny all/permit by exception
• Example of security groups to reflect  traffic was filtered via the source and destination to only authorized/allowed addresses and included a rule to deny all/permit by exception
• Screenshots of rules and configuration settings for inbound connections from boundary protection devices",Yes,2.52%,January-26,,Pass - evidence refreshed,Pass,No new evidence submitted as of 7/24/2025.,No new evidence submitted as of 4/24/2025.,No new evidence submitted as of 1/14/2025.,No evidence submitted as of 10/14/2024.,No evidence submitted as of 7/23/2024.,No evidence submitted as of 4/23/2024., 
33,SC-28,15.33,0.53%,SYSTEM AND COMMUNICATIONS PROTECTION,SC-28,Protection of Information at Rest,Protect the [Selection (one or more): confidentiality; integrity] of the following information at rest: [Assignment: organization-defined information at rest].,"Information at rest refers to the state of information when it is not in process or in transit and is located on system components. Such components include internal or external hard disk drives, storage area network devices, or databases. However, the focus of protecting information at rest is not on the type of storage device or frequency of access but rather on the state of the information. Information at rest addresses the confidentiality and integrity of information and covers user information and system information. System-related information that requires protection includes configurations or rule sets for firewalls, intrusion detection and prevention systems, filtering routers, and authentication information. Organizations may employ different mechanisms to achieve confidentiality and integrity protections, including the use of cryptographic mechanisms and file share scanning. Integrity protection can be achieved, for example, by implementing write-once-read-many (WORM) technologies. When adequate protection of information at rest cannot otherwise be achieved, organizations may employ other controls, including frequent scanning to identify malicious code at rest and secure offline storage in lieu of online storage.",SC-28 [confidentiality AND integrity],"SC-28 Guidance: The organization supports the capability to use cryptographic mechanisms to protect information at rest. 

SC-28 Guidance: When leveraging encryption from underlying IaaS/PaaS: While some IaaS/PaaS services provide encryption by default, many require encryption to be configured, and enabled by the customer. The SP has the responsibility to verify encryption is properly configured.  

SC-28 Guidance: Note that this enhancement requires the use of cryptography in accordance with SC-13.",,"• Procedures addressing the protection of information at rest
• Screenshots showing database encryption, backup encryption, hard drive encryption",Yes,0.53%,January-26,,Pass,Pass,"Passed in previous review.
NOTE: 
Evidence is valid for one year. Due to insufficient notification from the GovRAMP PMO, several expired controls will retain a passing grade for this cycle.  To maintain the current score, all expired/expiring evidence needs to be updated before the next review. See Tab 7_Expired Evidence Dashboard for an overview of expired controls. The highlighted controls will need to be refreshed in the next review cycle to avoid a reduced score.",Passed in previous review.,Passed in previous review.,Passed in previous review.,Passed in previous review., , 
34,SI-02,45.59,1.57%,SYSTEM AND INFORMATION INTEGRITY,SI-2,Flaw Remediation,"a. Identify, report, and correct system flaws;
b. Test software and firmware updates related to flaw remediation for effectiveness and potential side effects before installation;
c. Install security-relevant software and firmware updates within [Assignment: organization-defined time period] of the release of the updates; and
d. Incorporate flaw remediation into the organizational configuration management process.","The need to remediate system flaws applies to all types of software and firmware. Organizations identify systems affected by software flaws, including potential vulnerabilities resulting from those flaws, and report this information to designated organizational personnel with information security and privacy responsibilities. Security-relevant updates include patches, service packs, and malicious code signatures. Organizations also address flaws discovered during assessments, continuous monitoring, incident response activities, and system error handling. By incorporating flaw remediation into configuration management processes, required remediation actions can be tracked and verified.
 Organization-defined time periods for updating security-relevant software and firmware may vary based on a variety of risk factors, including the security category of the system, the criticality of the update (i.e., severity of the vulnerability related to the discovered flaw), the organizational risk tolerance, the mission supported by the system, or the threat environment. Some types of flaw remediation may require more testing than other types. Organizations determine the type of testing needed for the specific type of flaw remediation activity under consideration and the types of changes that are to be configuration-managed. In some situations, organizations may determine that the testing of software or firmware updates is not necessary or practical, such as when implementing simple malicious code signature updates. In testing decisions, organizations consider whether security-relevant software or firmware updates are obtained from authorized sources with appropriate digital signatures.",SI-2 (c) [within thirty (30) days of release of updates],,,"• Procedures addressing flaw remediation
• Procedures addressing configuration management
• Configuration Management Plan
• Both dynamic and static web application scan results
• Infrastructure scan results
• Documentation on how patches are tested prior to release to production
• Latest POA&M report, including “closed” tab
• List of flaws and vulnerabilities potentially affecting the system
• List of recent security flaw remediation actions performed on the system (e.g., list of installed patches, service packs, hot fixes, and other software updates to correct system flaws)
• Test results from the installation of software and firmware updates to correct system flaws
• Installation/change control records for security-relevant software and firmware updates
• Evidence of vendor patch management tool",Yes,1.57%,January-26,,"(a): Pass 

(b): Pass with concerns - Jira change/Access approval boards show change workflow, approvals and tasks tied to remediation. This implies that testing and review occurred but there is no explicit evidence of testing artifacts such as pre-prod/staging validation, test results or change records explicitly stating "" testing performed""

(c): Pass

(d):Pass with concerns - The Jira Change Management boards show integration with change control. The slack and Jira workflow also demonstrate operational linkage. However, there is no explicit  policy or CMP excerpts indicating that vulnerability remediation is governed by CM or Inspector/Jira are authoritative inputs to CM","(a): Pass 

(b): Fail: Provide evidence that shows software and firmware updates are tested for effectiveness and issues before they are installed.

(c): Fail:  Provide evidence that security-relevant software and firmware updates are installed within 30 days of being released by the vendor or the product team (your organization).

(d): Fail:  Provide evidence or documentation that flaw remediation is incorporated into the configuration management process.",No new evidence submitted as of 7/24/2025.,No new evidence submitted as of 4/24/2025.,No new evidence submitted as of 1/14/2025.,No evidence submitted as of 10/14/2024.,No evidence submitted as of 7/23/2024.,No evidence submitted as of 4/23/2024., 
35,SI-02 (02),45.59,1.57%,SYSTEM AND INFORMATION INTEGRITY,SI-2 (2),Flaw Remediation | Automated Flaw Remediation Status,Determine if system components have applicable security-relevant software and firmware updates installed using [Assignment: organization-defined automated mechanisms] [Assignment: organization-defined frequency].,Automated mechanisms can track and determine the status of known flaws for system components.,"SI-2 (2)-2 [at least monthly] 
",,,"• Evidence of automated tools used in patch management.
• Evidence of an automated update tracking system for vendor patching.
• History (log) of vendor patch installation for last three (3) months.",Yes,1.57%,October-25,,"Pass 

 New evidence shows that automated mechanisms are implemented and remediation status is visible in AWS Inspector; However, the evidence does not explicitly demonstrate enforcement of the organization defined frequency. This will remain a pass since the 10/25 evidence has not expired",Pass,No new evidence submitted as of 7/24/2025.,No new evidence submitted as of 4/24/2025.,No new evidence submitted as of 1/14/2025.,No evidence submitted as of 10/14/2024.,No evidence submitted as of 7/23/2024.,No evidence submitted as of 4/23/2024., 
